(50, 1) 0.0906749854569
(67, 53) 0.0906293342381
(125, 54) 0.0905620419925
(41, 29) 0.0905491438258
(47, 38) 0.0905349884296
(128, 52) 0.0905146218343
(44, 14) 0.090445800979
(128, 1) 0.0903421498738
(116, 104) 0.0901446095611
(5, 2) 0.0900987811751
(10, 8) 0.089752676323
(102, 85) 0.089667248044
(86, 85) 0.089590747238
(53, 15) 0.0895738676029
(14, 1) 0.0894523743977
(53, 27) 0.0892258860656
(53, 28) 0.0891609720446
(98, 61) 0.0890808237067
(61, 3) 0.08900148182
(41, 8) 0.0887690281544
(105, 85) 0.0885917973004
(106, 35) 0.0885881848196
(85, 73) 0.088585883989
(119, 53) 0.0883639905323
(92, 35) 0.0879610128931
(100, 29) 0.087671267991
(35, 18) 0.0874710575412
(64, 14) 0.0871835355701
(109, 14) 0.0871604457694
(112, 13) 0.0860651586368
(116, 54) 0.0860627959962
(55, 35) 0.0857955789686
(52, 32) 0.0851919908838
(79, 53) 0.0850856716458
(53, 51) 0.0848319793756
(87, 85) 0.0847520391555
(121, 35) 0.0846070140143
(35, 31) 0.083973414799
(84, 35) 0.0839522866263
(109, 35) 0.0838455061813
(101, 52) 0.0838402912954
(53, 18) 0.0829590109492
(90, 35) 0.0827224007995
(53, 39) 0.0825524001021
(128, 75) 0.0825193513738
(61, 21) 0.0824861475512
(55, 5) 0.0824232066391
(126, 52) 0.082354114599
(131, 115) 0.0821972671722
(110, 35) 0.0819610775332
(35, 10) 0.0818944528892
(71, 52) 0.0818853130302
(128, 32) 0.0818611009236
(123, 8) 0.081635580815
(128, 90) 0.0815926163296
(115, 104) 0.0814207647006
(112, 85) 0.0813969995245
(128, 89) 0.0812391941164
(44, 25) 0.0808324081569
(45, 8) 0.0807992614693
(44, 41) 0.0807991275845
(38, 35) 0.0806949908985
(128, 19) 0.0803378795445
(64, 2) 0.08031495213
(47, 14) 0.0801337500434
(116, 44) 0.079965391929
(88, 35) 0.0799321755386
(60, 44) 0.0798816080361
(123, 13) 0.0797795518365
(91, 35) 0.0793602215202
(78, 35) 0.0792539003316
(61, 4) 0.0791046586232
(128, 110) 0.0789624750247
(127, 35) 0.0787458681365
(116, 8) 0.0787383924079
(93, 8) 0.0786669490965
(103, 14) 0.0786266468196
(53, 42) 0.0785838195938
(64, 31) 0.0783738148743
(35, 30) 0.0783648409541
(115, 54) 0.0782107092509
(108, 35) 0.0781804839464
(115, 13) 0.0780664461552
(94, 35) 0.0780464411981
(46, 35) 0.0780139704641
(70, 35) 0.0779792993204
(64, 60) 0.0779009761137
(50, 47) 0.0778022087862
(125, 8) 0.0777444615709
(130, 85) 0.0777068131526
(75, 35) 0.0776856887481
(89, 35) 0.0770650606843
(60, 5) 0.0770288116239
(116, 5) 0.0769164799471
(56, 52) 0.0767258790477
(111, 85) 0.0764701723409
(31, 5) 0.0763309473267
(35, 19) 0.0762712407898
(43, 35) 0.0761959567029
(58, 35) 0.0761742339574
(85, 9) 0.0761629654907
(120, 80) 0.075949131534
(128, 91) 0.0756080418441
(128, 40) 0.075576429135
(83, 35) 0.0754506657071
(71, 56) 0.0753341975137
(128, 88) 0.0750328914839
(58, 14) 0.0749728730667
(40, 35) 0.0749086674962
(128, 58) 0.0748851098826
(128, 78) 0.074676196457
(2, 1) 0.0746078779932
(128, 36) 0.0746075161373
(129, 35) 0.0744624915816
(55, 1) 0.0741910481642
(128, 62) 0.0740989510879
(35, 17) 0.0739838838117
(37, 35) 0.0739207280753
(81, 14) 0.0739190123508
(115, 85) 0.0738695393564
(57, 35) 0.0738052768569
(128, 16) 0.0737324024333
(125, 44) 0.0737110219573
(71, 13) 0.0737061286794
(64, 41) 0.0734049693261
(128, 24) 0.0732745143533
(25, 5) 0.0731549345174
(35, 16) 0.0728382718689
(100, 44) 0.0727521365688
(128, 37) 0.0727104378247
(116, 64) 0.0725960223836
(97, 53) 0.0725824573574
(120, 56) 0.0724684813765
(64, 25) 0.0723333205775
(93, 44) 0.0718821776467
(131, 11) 0.0718293297255
(85, 29) 0.0718237435765
(128, 127) 0.0717664379479
(128, 80) 0.0715996906654
(35, 23) 0.0714477742384
(120, 101) 0.0711970609904
(35, 9) 0.0711649259729
(104, 11) 0.0709645494448
(128, 57) 0.0709492626801
(127, 14) 0.070920092581
(93, 65) 0.0707598368325
(76, 13) 0.0707576584503
(125, 5) 0.0707575708142
(82, 35) 0.0706993810746
(128, 25) 0.070680807757
(116, 1) 0.0706729421927
(120, 71) 0.0706458272217
(73, 35) 0.0704134160095
(114, 35) 0.0702765749158
(13, 11) 0.0700666697624
(60, 1) 0.0699702780466
(100, 5) 0.0698894900121
(128, 109) 0.0698483099082
(31, 1) 0.0697161205009
(81, 35) 0.0696776335849
(54, 11) 0.0695888065257
(52, 14) 0.0694941338036
(128, 94) 0.0694282911058
(102, 35) 0.0693003519812
(125, 65) 0.0692959561146
(35, 24) 0.0689913289728
(93, 5) 0.0688332656649
(130, 35) 0.0686824539082
(86, 35) 0.0686220086956
(48, 35) 0.0684959362121
(72, 35) 0.0684212078753
(87, 35) 0.068395157548
(112, 35) 0.0681206671009
(96, 52) 0.0681010168546
(131, 76) 0.0680156459014
(128, 48) 0.0679390600263
(65, 41) 0.0677481133491
(128, 70) 0.0675806389335
(121, 14) 0.0674368743107
(106, 44) 0.0673675046313
(105, 35) 0.0671978376821
(104, 76) 0.0671508656207
(65, 52) 0.0670093974742
(128, 95) 0.0669973897853
(123, 85) 0.0669873668248
(131, 65) 0.0669372629991
(47, 2) 0.0669353922095
(128, 81) 0.0668399527111
(76, 35) 0.0666403709562
(125, 64) 0.0665624406498
(100, 64) 0.0663839072253
(56, 13) 0.0661436245576
(91, 14) 0.0661253487732
(104, 65) 0.0660190816349
(85, 10) 0.0657834301694
(128, 83) 0.065708367526
(120, 14) 0.065673131823
(47, 31) 0.0655499184481
(94, 14) 0.0652053847295
(65, 56) 0.0651438746168
(120, 26) 0.0649267140329
(125, 1) 0.0648748873544
(25, 1) 0.0648520226859
(97, 85) 0.0647383800771
(83, 14) 0.0646817561738
(93, 64) 0.0645128081014
(106, 5) 0.0645048580746
(120, 32) 0.0643077471215
(126, 120) 0.0641394273328
(103, 41) 0.0639861568625
(128, 82) 0.0639147141398
(128, 12) 0.0635483028071
(55, 47) 0.0631453202524
(41, 5) 0.0631326737335
(57, 14) 0.0631196320214
(90, 14) 0.0631165499373
(100, 1) 0.0630257339296
(93, 1) 0.0628270999989
(45, 35) 0.0627207973869
(14, 9) 0.0624816848759
(40, 14) 0.0624785678311
(35, 11) 0.0623225060548
(60, 47) 0.0622853836461
(110, 14) 0.062222533751
(16, 14) 0.061601899377
(29, 13) 0.0614148326622
(128, 68) 0.0614011674446
(106, 64) 0.0612482045446
(116, 47) 0.0603745423298
(128, 115) 0.059909566951
(88, 14) 0.0597702288609
(61, 34) 0.0596098277506
(70, 14) 0.0595096541822
(47, 41) 0.0594950058159
(71, 65) 0.0592481762598
(111, 63) 0.0591643982207
(76, 54) 0.0590198934243
(106, 1) 0.0589098180313
(128, 11) 0.0586870136383
(104, 29) 0.0581915213325
(128, 96) 0.0581350875493
(61, 6) 0.0580999833389
(61, 20) 0.0580999833389
